"Início dos relatórios","Término dos relatórios","Nome da campanha","Veiculação da campanha",Alcance,Frequência,"Custo por 1.000 contas da Central de Contas alcançadas (BRL)",Impressões,"CPM (custo por 1.000 impressões) (BRL)","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios",Objetivo,"Reproduções de 100% do vídeo","Reproduções de 50% do vídeo","Reproduções de 75% do vídeo","Tempo médio de reprodução do vídeo","Novos contatos de mensagem","Total de contatos de mensagem","Custo por resultados","Indicador de resultados","ROAS de resultados","Indicador de ROAS do resultado",Resultados,"Valor usado (BRL)",Visualizações,ThruPlays,"Reproduções de vídeo","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Cliques no link","Custo por clique único (todos) (BRL)",onsite_conversion_returning_messaging_connection,"Contatos por mensagem","Conversas por mensagem iniciadas","Novos contatos de mensagem","Custo por contato por mensagem (BRL)","Custo por conversa por mensagem iniciada (BRL)"
2025-12-01,2025-12-31,,0,1777003,2.37036,18.525731,4212137,7.815577,0,0,Multiple,,,,00:00:00,,,,,,,,32920.28,4079914,,,66407,1.576563,0.495735,,0.641796,,,,,,
2025-12-01,2025-12-31,"RECONHECIMENTO DE MARCA",active,469988,1.227336,3.236359,576833,2.636898,100,Diário,Engajamento,6399,35426,16032,9,4,6,0.00488963,actions:post_engagement,,,311077,1521.05,597268,101798,562823,6281,1.088877,0.242167,3,0.255983,,6,6,4,253.508333,253.508333
2025-12-01,2025-12-31,"Teste - LeadsENG 070425",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"LeadsWPP 070425 — Cópia",inactive,0,0,0,0,0,100,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"DayUse Conversa WPP",inactive,49778,1.848748,30.211137,92027,16.3414,50,Diário,Engajamento,,1,1,2,718,764,2.04884196,actions:onsite_conversion.messaging_conversation_started_7d,,,734,1503.85,92164,1,24,2392,2.599237,0.6287,1367,0.745957,,740,734,718,2.03223,2.048842
2025-12-01,2025-12-31,"VendaCota Wpp",active,148775,2.335097,30.438649,347404,13.035285,101,Diário,Engajamento,875,2874,1817,4,797,921,5.24133102,actions:onsite_conversion.messaging_conversation_started_7d,,,864,4528.51,347051,3794,59184,7732,2.225651,0.585684,3270,0.724794,,873,864,795,5.187297,5.241331
2025-12-01,2025-12-31,"Excursão WPP 5326",inactive,8585,1.787886,34.69074,15349,19.403218,20,Diário,Engajamento,,,,1,70,94,3.54547619,actions:onsite_conversion.messaging_conversation_started_7d,,,84,297.82,15367,,26,443,2.886182,0.67228,220,0.822707,,83,84,70,3.588193,3.545476
2025-12-01,2025-12-31,"MSG[META] SJL+80KM [PFX]",inactive,0,0,0,0,0,200,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"[DS]EXCURSÕES AQUATUR GERAL 031125",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"G3 - ✅ [ENGAJ][LEADS COTA][META]  @041125",archived,0,0,0,0,0,100,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"G3 - ✅ [META] [LEADS] 041125",inactive,97462,2.439074,46.528185,237717,19.07617,150,Diário,Engajamento,3061,9446,5664,5,466,641,8.42886617,actions:onsite_conversion.messaging_conversation_started_7d,,,538,4534.73,201816,12916,155557,5991,2.520224,0.756924,3127,0.94651,,573,538,466,7.914014,8.428866
2025-12-01,2025-12-31,"G3 - ✅ [WPP] [LEADS] 041125",inactive,293089,3.176264,15.484307,930928,4.875006,150,Diário,Engajamento,9011,24911,14691,3,189,202,0.33964077,actions:link_click,,,13362,4538.28,912718,35894,837570,20032,2.151831,0.226552,13362,0.280487,,196,198,188,23.15449,22.920606
2025-12-01,2025-12-31,"G3 - ✅ [WPP] [ENGAJ] 051125",active,219503,2.046696,27.588826,449256,13.479686,102,Diário,Engajamento,6720,21389,12914,4,968,1069,5.74556926,actions:onsite_conversion.messaging_conversation_started_7d,,,1054,6055.83,435077,24005,336180,10179,2.265746,0.594934,3077,0.724295,,1028,1054,966,5.890885,5.745569
2025-12-01,2025-12-31,"Post do Instagram: 🖤 Calma, ninguém tá de luto...",completed,0,0,0,0,0,266,Total,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"[DS] CAMPANHA DE DEZEMBRO 071125",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"Post do Instagram: 🔥 PARA TUDO! A BLACK do...",completed,0,0,0,0,0,266,Total,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"[DS] CAMPANHA TESTE 1 LEVE 2 131125",archived,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"[DS] CAMPANHA TESTE 1-2. 131125",inactive,20544,1.768107,29.416861,36324,16.637485,40,Diário,Leads,,,,00:00:00,116,145,4.72140625,actions:onsite_conversion.messaging_conversation_started_7d,,,128,604.34,36375,,,726,1.998679,0.832424,383,0.968494,,128,128,112,4.721406,4.721406
