"Início dos relatórios","Término dos relatórios","Nome da campanha","Veiculação da campanha",Alcance,Frequência,"Custo por 1.000 contas da Central de Contas alcançadas (BRL)",Impressões,"CPM (custo por 1.000 impressões) (BRL)","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios",Objetivo,"Reproduções de 100% do vídeo","Reproduções de 50% do vídeo","Reproduções de 75% do vídeo","Tempo médio de reprodução do vídeo","Novos contatos de mensagem","Total de contatos de mensagem","Custo por resultados","Indicador de resultados","ROAS de resultados","Indicador de ROAS do resultado",Resultados,"Valor usado (BRL)",Visualizações,ThruPlays,"Reproduções de vídeo","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Cliques no link","Custo por clique único (todos) (BRL)",onsite_conversion_returning_messaging_connection,"Contatos por mensagem","Conversas por mensagem iniciadas","Novos contatos de mensagem","Custo por contato por mensagem (BRL)","Custo por conversa por mensagem iniciada (BRL)"
2026-01-01,2026-01-31,,0,1219834,2.287647,18.297342,2790549,7.998326,0,0,Multiple,,,,00:00:00,,,,,,,,22319.72,2753629,,,60239,2.158679,0.370519,,0.492285,,,,,,
2026-01-01,2026-01-31,"RECONHECIMENTO DE MARCA",active,597871,1.276913,2.60675,763429,2.041447,100,Diário,Engajamento,8806,46947,21336,9,8,13,0.00374253,actions:post_engagement,,,416430,1558.5,798902,133213,742494,7660,1.003368,0.20346,22,0.20596,,13,15,8,119.884615,103.9
2026-01-01,2026-01-31,"Teste - LeadsENG 070425",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"LeadsWPP 070425 — Cópia",inactive,0,0,0,0,0,100,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"DayUse Conversa WPP",inactive,0,0,0,0,0,50,Diário,Engajamento,,,,00:00:00,,5,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"VendaCota Wpp",active,194299,2.002769,18.496235,389136,9.235332,101,Diário,Engajamento,498,1627,1034,4,885,1041,3.6973251,actions:onsite_conversion.messaging_conversation_started_7d,,,972,3593.8,389619,2082,28054,9776,2.512232,0.367615,3946,0.438215,,979,972,878,3.670889,3.697325
2026-01-01,2026-01-31,"Excursão WPP 5326",inactive,0,0,0,0,0,20,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"MSG[META] SJL+80KM [PFX]",inactive,0,0,0,0,0,200,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"[DS]EXCURSÕES AQUATUR GERAL 031125",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"G3 - ✅ [META] [LEADS] 041125",inactive,147771,2.34837,28.539362,347021,12.152838,150,Diário,Engajamento,4976,15813,9197,5,644,839,5.8492233,actions:onsite_conversion.messaging_conversation_started_7d,,,721,4217.29,301890,20463,238973,9014,2.597537,0.46786,3905,0.590574,,741,721,617,5.69135,5.849223
2026-01-01,2026-01-31,"G3 - ✅ [WPP] [LEADS] 041125",inactive,0,0,0,0,0,150,Diário,Engajamento,,,,00:00:00,1,1,,,,,,0,0,,,0,0,0,,0,,,1,,,0
2026-01-01,2026-01-31,"G3 - ✅ [WPP] [ENGAJ] 051125",active,231180,1.758396,17.558093,406506,9.985289,102,Diário,Engajamento,6732,21474,13367,4,948,1048,3.99515748,actions:onsite_conversion.messaging_conversation_started_7d,,,1016,4059.08,399928,23973,327254,8875,2.18324,0.457361,2797,0.519463,,1005,1016,923,4.038886,3.995157
2026-01-01,2026-01-31,"[DS] CAMPANHA DE DEZEMBRO 071125",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"[DS] CAMPANHA TESTE 1-2. 131125",inactive,0,0,0,0,0,40,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"[DS] RECONHECIMENTO 181125",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"G3 - ✅ [WPP] [ENGAJ] [BLACK]",active,283242,1.701506,18.020915,481938,10.591155,150,Diário,Engajamento,8307,23189,16453,4,1280,1384,3.82629685,actions:onsite_conversion.messaging_conversation_started_7d,,,1334,5104.28,476945,26718,409964,8540,1.772012,0.597691,2915,0.661348,,1366,1334,1280,3.736662,3.826297
2026-01-01,2026-01-31,"COLONIA DE FÉRIAS [DS] 071225",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"RETORNO DE MENSAGEM - COLONIA DE FÉRIAS [DS] 071225",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"Post do Instagram: Momento de relaxar? Você...",archived,0,0,0,0,0,144,Total,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"Post do Instagram: 🎄 O Natal tá chegando…
E nada...",completed,0,0,0,0,0,216,Total,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"Post do Instagram: Enquanto todo mundo ainda fala...",archived,0,0,0,0,0,480,Total,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
