Relatorio Trafego 2026
"January 1, 2026 - January 31, 2026"
Campaign,Ad state,Ad type,Final URL,Beacon URLs,Headline,Long headline,Long headline 1,Long headline 2,Long headline 3,Long headline 4,Long headline 5,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Description 5,Image ID,Square image ID,Logo ID,Landscape logo ID,Business name,Video,Call to action text,Call to action text 1,Call to action text 2,Call to action text 3,Call to action text 4,Call to action text 5,Call to action headline,Video ID,Companion banner,Accent color,Main color,Allow flexible color,Ad format preference,Promotion text,Price prefix,Enable Asset Enhancements,Enable Autogen Video,Ad name,Display URL,Path 1,Path 2,Mobile final URL,Tracking template,Final URL suffix,Custom parameter,Currency code,Cost,Impr.,CTR,Clicks,Conversions,Cost / conv.,Avg. CPC,Avg. CPM,Avg. cost
Aquabeat @G3²,Enabled,Responsive search ad,https://aquabeat.com.br/cristal, --, --, --, --, --, --, --, --,Parque Aquático BH MG, --,Parque Aquático Aquabeat, --,Aquabeat São José da Lapa, --,Seja Sócio Parque Aquabeat BH, --,Aquabeat Seja Sócio, --,Seja Sócio do Aquabeat, --,Cota Parque Aquático BH, --,Sócio Cristal Aquabeat, --,Aproveite A Oportunidade, --,Aquabeat Minas Gerais Preço, --,A maior Praia Artificial de MG, --,Telefone de vendas Aquabeat, --, --, --, --, --, --, --, --,"Seja sócio Cristal da Praia de BH, Aquabeat - o maior parque aquático de Minas Gerais", --,Aquabeat BH - o maior parque aquático de Minas Gerais, --,O Aquabeat Será O Destino Certo Para Quem Quer Se Divertir E Relaxar Por Um Dia, --,Aquabeat - Seja Sócio Cristal e venha para a maior praia de Minas Gerais, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,BRL,0.00,0,0,0,0.00,0,0,0,0
Aquabeat @G3²,Disabled,Expanded dynamic search ad,, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,O Aquabeat Será O Destino Certo Para Quem Quer Se Divertir E Relaxar Por Um Dia, --, --,Aquabeat BH - Seja sócio Remido Esmeralda do maior parque aquático, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,BRL,0.00,0,0,0,0.00,0,0,0,0
[Nova Campanha][Aquabeat Pura alegria e diversão],Enabled,Responsive video ad,https://www.youtube.com/shorts/J072NO0k2i0, --, --, --,Aquabeat é pura alegria e diversão! Venha curtir com sua Família, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Aquabeat é pura alegria e diversão! Com atrações para todos os gostos!, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,205607943279, --, --, --, --, --, --, --, --, --,Aquabeat é pura alegria e diversão!, --, --, --,, --, --,,BRL,0.00,0,0,0,0.00,0,0,0,0
Aquabeat @G3²,Enabled,Responsive search ad,https://aquabeat.com.br/contato-fb, --, --, --, --, --, --, --, --,Aquabeat Seja Sócio, --,Sócio Cristal Aquabeat, --,Aquabeat São José da Lapa, --,Seja Sócio Parque Aquabeat BH, --,Parque Aquático BH MG, --,Seja Sócio Cristal Aquabeat, --,Cota Parque Aquático BH, --,Parque Aquático Aquabeat, --,Aproveite A Oportunidade, --,Aquabeat Minas Gerais Preço, --,A maior praia artificial de MG, --,Telefone de vendas Aquabeat, --,Entre Em Contato Conosco, --, --, --, --, --, --,Aquabeat BH - Seja sócio Cristal do maior parque aquático, --,Seja sócio do maior parque aquático de Minas Gerais, --,O Aquabeat Será O Destino Certo Para Quem Quer Se Divertir E Relaxar Por Um Dia, --,Aquabeat - Seja sócio Cristal do maior parque aquático de Minas Gerais, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,BRL,0.00,0,0,0,0.00,0,0,0,0
Pesquisa - Institucional - NOV23,Enabled,Responsive search ad,https://aquabeat.com.br/cota-safira/?utm_source=googleads&utm_medium=cpc&utm_campaign=display, --, --, --, --, --, --, --, --,Aquabeat Seja Sócio, --,Sócio Remido Safira, --,Aquabeat são josé da lapa, --,Seja Sócio Clube Aquabeat BH, --,Parque Aquático BH MG, --,Seja Sócio Remido Aquabeat, --,Cota Clube Parque Aquático BH, --,Parque Aquático Aquabeat, --,Aproveite A Oportunidade, --,Aquabeat Minas Gerais Preço, --,50 anos sem pagar mensalidade, --,Telefone de vendas Aquabeat, --, --, --, --, --, --, --, --,Aquabeat BH - Seja sócio Remido Safira do maior parque aquático, --,Seja sócio remido do maior parque aquático de Minas Gerais, --,O Aquabeat Será O Destino Certo Para Quem Quer Se Divertir E Relaxar Por Um Dia, --,Aquabeat - Sócio Remido Safira não paga mensalidade por 50 anos, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,BRL,0.00,0,0,0,0.00,0,0,0,0
A PRAIA DE MINAS - SEJA SÓCIO DIAMANTE PREMIUM,Disabled,Responsive video ad,https://www.youtube.com/watch?v=LwalZyNcCuY, --, --, --,Venha conhecer o Aquabeat O maior parque aquático de Minas Gerais, --, --, --, --,Venha conhecer o Aquabeat, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Venha Conhecer o Aquabeat o maior Prque Aquático de Minas Gerais, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Saiba mais, --, --, --, --, --,202454620795, --, --, --, --, --, --, --, --, --,Venha para o Aquabeat, --, --, --,, --, --,,BRL,0.00,0,0,0,0.00,0,0,0,0
[Apresentação Aquabeat Seguimento Minas]#2,Enabled,Responsive video ad,https://www.youtube.com/watch?v=LwalZyNcCuY&t=12s, --, --, --,Venha conhecer o Aquabeat o Maior parque de Minas Gerais, --, --, --, --,Venha Conhecer o Aquabeat, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Piscina de ondas Toboaguas Rio Lento e muito mais, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Saiba mais, --, --, --, --, --,202454620795, --, --, --, --, --, --, --, --, --,Venha Conhecer o Aquabeat, --, --, --,, --, --,,BRL,0.00,0,0,0,0.00,0,0,0,0
[Venha curtir o Verão e ser socio],Enabled,Responsive video ad,https://www.youtube.com/shorts/Pfzgx947JJ4, --, --, --,Verão e no Aquabeat, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Venha Curtir o verão se ser Sócio do Aquabeat o maior parque de Minas Gerais, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,202722981676, --, --, --, --, --, --, --, --, --,Verão e no Aquabeat, --, --, --,, --, --,,BRL,0.00,0,0,0,0.00,0,0,0,0
Reconhecimento Marca IG Aquabeat,Enabled,Responsive search ad,https://instagram.com/aquabeat.oficial, --, --, --, --, --, --, --, --,Instagram Aquabeat Oficial, --,insta Parque Aquático Aquabeat, --,Aquabeat são josé da lapa, --,Seja Sócio Parque Aquabeat BH, --,Aquabeat Seja Sócio, --,Seja Sócio do Aquabeat, --,Cota Clube Parque Aquático BH, --,Nossas Redes Sociais Oficiais, --,Insta: Aquabeat.Oficial, --,Aquabeat Minas Gerais Preço, --,Aquabeat Piscina de Ondas BH, --,Telefone de vendas Aquabeat, --,Instagram Oficial Aquabeat, --,Férias em Belo Horizonte, --,Maior Praia Artificial de MG, --, --,"Seja sócio Cristal do maior parque aquático de Minas Gerais, acompanhe o Instagram Oficial", --,Aquabeat BH - Seja sócio Cristal do maior parque aquático de Minas Gerais - A praia de BH, --,O Aquabeat Será O Destino Certo Para Quem Quer Se Divertir E Relaxar Por Um Dia, --,Aquabeat - a maior praia artificial de Minas Gerais, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,aquabeat,oficial,, --, --,,BRL,0.00,0,0,0,0.00,0,0,0,0
[Instruçoes para curtir o Aquabeat],Enabled,Responsive video ad,https://www.youtube.com/watch?v=D1Qxgtdiiqs&t=6s, --, --, --,Dicas para curtir o Aquabeat Com sua Família O maior parque aquático de Minas Gerais, --, --, --, --,Dicas para curtir o Aquabeat, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Dicas para curtir o Aquabeat Com sua Família, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Subscribe, --, --, --, --, --,202429739385, --, --, --, --, --, --, --, --, --,Dicas para curtir o Aquabeat, --, --, --,, --, --,,BRL,0.00,0,0,0,0.00,0,0,0,0
